"id";"iddetalles";"accesorio";"cantidad";"ubicacion";"fecha_reg";"estado";"imagen"
"250";"20728";"TAPA PLASTICA IZQUIERDA";"1";"017A07";"2024-07-17 10:13:16";"1";"0"
"251";"2097";"TAPA PLASTICA IZQUIERDA";"1";"81F";"2024-07-17 10:15:00";"1";"0"
"252";"2097";"TAPA PLASTICA DERECHA";"1";"81F";"2024-07-17 10:15:14";"1";"0"
"253";"20727";"TAPA PLASTICA IZQUIERDA";"1";"017A03";"2024-07-17 10:16:23";"1";"0"
"254";"20727";"TAPA PLASTICA DERECHA";"1";"017A03";"2024-07-17 10:16:36";"1";"0"
"255";"2092";"TAPA PLASTICA IZQUIERDA";"1";"017A03";"2024-07-17 10:17:45";"1";"0"
"256";"2092";"TAPA PLASTICA DERECHA";"1";"017A03";"2024-07-17 10:18:02";"1";"0"
"257";"24061";"TAPA PLASTICA IZQUIERDA";"1";"81J";"2024-07-17 10:19:11";"1";"0"
"258";"24061";"TAPA PLASTICA DERECHA";"1";"81J";"2024-07-17 10:19:32";"1";"0"
"259";"27294";"TAPA PLASTICA IZQUIERDA";"1";"017A01";"2024-07-17 10:20:41";"1";"0"
"260";"27294";"TAPA PLASTICA DERECHA";"1";"017A01";"2024-07-17 10:20:59";"1";"0"
"261";"24065";"TAPA ALUMINIO IZQUIERDA";"1";"85A";"2024-07-17 10:23:03";"1";"0"
"262";"24065";"TAPA ALUMINIO DERECHA";"1";"85A";"2024-07-17 10:23:20";"1";"0"
"263";"26620";"DIFUSOR OPAL 1MTR";"1";"904A";"2024-07-17 10:24:21";"1";"0"
"264";"26620";"TAPA ALUMINIO DERECHA";"1";"85C";"2024-07-17 10:24:35";"0";"0"
"265";"18993";"MALETIN";"1";"IMPORTACIONES";"2024-07-17 13:33:00";"1";"0"
"266";"2043";"TAPA PLASTICA CON HUECO";"1";"017A10";"2024-07-25 16:06:40";"1";"0"
"267";"2043";"TAPA PLASTICA CIEGA";"1";"017A10";"2024-07-25 16:07:50";"1";"0"
"268";"21631";"ANTENA WIFI";"1";"83D";"2024-07-25 16:08:41";"1";"0"
"269";"20258";"ANTENA WIFI";"1";"83C";"2024-07-25 16:10:59";"1";"0"
"270";"21629";"ANTENA WIFI";"1";"010A06";"2024-07-25 16:14:04";"1";"0"
"271";"21630";"ANTENA WIFI";"1";"010A06";"2024-07-25 16:14:37";"1";"0"
"272";"24193";"ANTENA WIFI";"1";"010A06";"2024-07-25 16:19:43";"1";"0"
